,filename,field,section,NN,CAP,WZPAST,to,PIN,PREP,JJ,BEMA,VPRT,AUXB,TO,PUBV,INF,the,ART,DET,about,that,TSUB,WHSUB,WH,POMD,from,SUAV,or,CCONJ,any,QUAN,of,RB,CONJ,in,NNP,there,EX,no,SYNE,NOMZ,WZPRES,PGAS,on,this,DEMO,VBD,a,INDA,NUM,and,PASS,PRIV,by,THVC,SCONJ,most,EMPH,SPADJ,not,XX0,ANDC,PEAS,SPAU,with,OSUB,STPR,CMADJ,for,PHC,total_words,BYPA,which,such,as,at,PIRE,more,than,those,DEMP,GER,these,X,while,it,PIT,PRP,SBJP,PRED,THAC,all,PRMD,PROD,i,FPP1,because,CAUS,TIME,AMP,but,us,their,TPP3,they,PLACE,ACCU,both,DWNT,some,into,NEMD,SERE,SPIN,WHQU,its,who,PASTP,through,around,many,WHOBJ,what,without,if,COND,before,WHCL,PRESP,TOBJ,yet,THATD,after,much,our,over,CONT,QUOT,them,each,since,'s,CONC,we,HDG,SMP,off,least,until,me,few,every,QUES,whatever,his,your,SPP2,another,enough,anything,QUPR,INPR,HASH,her,he,you,something,she,DPAR,nothing,everyone,mine,URL,EXCL,UH,my,someone,him,myself,anyone,everything,nobody,EMOT,everybody,EMOJ,somebody,yourself,AT,theirs
0,CorAgrarian.AgE.agrmachine.01_abstract.txt,AgE,Abstract,38,9,2,6,28,28,15,1,4,5,3,1,4,13,14,17,1,2,1,1,1,1,1,2,1,6,1,1,8,6,5,4,2,1,1,1,1,9,2,3,1,1,1,6,1,1,8,5,3,4,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CorAgrarian.AgE.agrmachine.02_abstract.txt,AgE,Abstract,72,7,0,3,39,39,24,5,5,8,2,0,4,11,16,21,0,1,0,1,2,1,0,1,0,13,0,1,15,3,10,5,1,0,0,1,1,11,1,7,0,1,3,6,3,5,4,13,3,2,1,0,4,1,2,1,0,0,4,1,0,1,1,0,2,1,4,256,1,2,2,4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CorAgrarian.AgE.agrmachine.03_abstract.txt,AgE,Abstract,92,34,6,3,54,54,26,2,3,13,1,2,1,9,13,17,0,0,0,0,0,0,2,0,1,8,0,1,17,3,13,12,12,2,2,0,0,6,0,3,6,1,3,15,4,4,33,7,7,0,2,0,2,2,5,2,0,0,1,0,1,1,0,0,4,3,2,323,0,0,0,0,0,0,3,2,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CorAgrarian.AgE.agrmachine.04_abstract.txt,AgE,Abstract,50,19,0,4,37,37,28,5,6,11,3,0,3,13,14,15,2,0,0,0,0,0,0,0,0,5,0,1,11,3,5,5,4,0,0,0,0,8,0,0,2,0,0,7,1,1,10,4,5,1,0,0,1,0,0,2,0,0,0,2,1,2,1,0,0,3,4,205,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,2,3,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CorAgrarian.AgE.agrmachine.05_abstract.txt,AgE,Abstract,51,12,1,1,23,23,9,0,5,4,0,1,1,12,16,18,0,1,0,0,0,1,0,0,1,9,0,1,7,1,6,6,5,0,0,0,0,4,2,5,0,1,1,4,3,4,5,7,2,1,1,1,2,0,1,0,0,0,0,0,0,1,1,0,3,2,2,165,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CorAgrarian.AgE.agrmachine.06_abstract.txt,AgE,Abstract,95,10,2,5,49,49,13,1,5,3,1,0,2,21,23,25,1,3,0,0,1,0,3,3,1,12,0,2,23,9,2,2,0,0,0,0,0,9,3,5,5,0,0,8,1,2,7,11,0,4,0,3,3,1,3,1,0,0,3,0,0,2,0,0,3,1,6,277,0,1,0,0,0,0,2,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CorAgrarian.AgE.agrmachine.07_abstract.txt,AgE,Abstract,59,9,5,9,36,36,22,1,5,6,7,3,9,12,15,17,0,0,0,1,2,1,1,2,0,6,0,0,8,9,8,6,1,0,0,0,0,16,0,2,1,1,1,3,3,3,3,6,4,1,3,0,1,0,1,0,0,0,0,1,0,3,0,0,2,2,3,236,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CorAgrarian.AgE.agrmachine.08_abstract.txt,AgE,Abstract,61,9,0,3,28,28,25,0,6,1,3,1,3,8,9,12,3,1,1,2,4,0,1,0,0,14,0,1,6,3,2,1,0,0,0,0,0,12,0,4,1,1,2,7,1,1,2,14,1,6,0,0,2,0,0,0,0,0,5,0,0,3,0,0,1,4,8,214,0,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CorAgrarian.AgE.agrmachine.09_abstract.txt,AgE,Abstract,44,5,0,2,21,21,7,0,4,2,1,0,1,5,6,9,0,2,1,2,3,0,1,1,0,12,0,0,6,2,6,6,0,1,1,0,0,10,2,5,1,2,3,5,1,1,2,12,2,1,0,1,2,0,1,0,0,0,2,0,0,0,0,1,2,3,8,147,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CorAgrarian.AgE.agrmachine.10_abstract.txt,AgE,Abstract,66,15,1,9,38,38,17,4,14,13,6,0,8,16,19,28,0,4,0,0,6,2,3,2,4,11,0,4,8,9,9,5,3,0,0,1,1,15,2,6,0,3,5,6,3,3,2,7,8,7,1,3,8,0,0,0,0,0,1,0,0,0,0,0,0,4,3,266,0,2,0,2,0,0,0,0,1,0,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CorAgrarian.AgE.agrmachine.11_abstract.txt,AgE,Abstract,67,17,2,6,31,31,42,2,6,9,4,5,4,12,19,19,0,3,1,1,1,0,1,3,1,9,0,1,9,5,7,3,3,0,0,0,0,11,0,7,0,0,0,8,5,7,3,8,6,1,1,1,3,0,0,0,0,0,1,1,2,0,0,2,0,1,6,263,1,0,1,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CorAgrarian.AgE.agrmachine.12_abstract.txt,AgE,Abstract,41,17,0,6,26,26,22,1,11,5,3,1,6,16,20,23,0,4,2,2,4,1,0,2,0,13,0,0,6,11,6,4,8,0,0,0,0,16,1,3,1,3,4,2,3,4,1,13,1,1,0,1,4,0,5,0,0,0,2,0,1,2,0,0,5,2,8,219,0,0,0,2,2,0,5,0,0,0,2,0,0,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CorAgrarian.AgE.agrmachine.13_abstract.txt,AgE,Abstract,53,7,1,4,22,22,34,1,6,3,4,1,6,25,32,35,2,0,0,0,0,0,1,2,0,15,0,0,8,3,4,2,0,0,0,0,0,15,0,3,0,1,1,0,5,7,5,13,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,6,228,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CorAgrarian.AgE.agrmachine.14_abstract.txt,AgE,Abstract,47,11,2,4,27,27,20,0,0,4,2,0,4,8,12,14,0,0,0,0,0,2,2,1,0,10,0,0,5,2,3,3,0,0,0,0,0,14,0,2,2,1,1,8,4,4,10,10,3,2,0,0,1,0,0,0,0,0,3,0,1,1,1,0,0,5,4,190,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
